iter	Logloss
0	0.6644429444
1	0.6374298638
2	0.6122126873
3	0.5886348857
4	0.5672092729
5	0.5466288536
6	0.5280057072
7	0.5101926062
8	0.4939662304
9	0.4780983223
10	0.4633074183
11	0.4496935778
12	0.437383276
13	0.4253056581
14	0.4143629332
15	0.4038530111
16	0.3944746345
17	0.3857382761
18	0.3772761898
19	0.3693675599
20	0.361853783
21	0.3552588434
22	0.3489582242
23	0.3430434708
24	0.3372818266
25	0.3318490689
26	0.3270280204
27	0.3225555065
28	0.3181791951
29	0.3140537603
30	0.3104270583
31	0.3067292595
32	0.303322361
33	0.30017589
34	0.2973327449
35	0.2946615748
36	0.292161852
37	0.2896748277
38	0.2874386799
39	0.2853489646
40	0.2833559431
41	0.2813656688
42	0.2795750586
43	0.2779241133
44	0.2762587776
45	0.2747545377
46	0.2732844272
47	0.2719405008
48	0.270720448
49	0.2694630458
50	0.2683882249
51	0.267339383
52	0.2663664591
53	0.2654017764
54	0.2644527211
55	0.2636481154
56	0.2628234978
57	0.2620097958
58	0.2612895311
59	0.2606106547
60	0.2599385642
61	0.2592848482
62	0.2586707922
63	0.258108949
64	0.2575768872
65	0.2571002037
66	0.256567487
67	0.2561182926
68	0.255729516
69	0.2553066645
70	0.2549304772
71	0.2545744837
72	0.2542196363
73	0.2538925873
74	0.2535024463
75	0.2531812917
76	0.2528842605
77	0.2526362221
78	0.2523633144
79	0.2521118194
80	0.2518578866
81	0.2516148147
82	0.2513932102
83	0.2511578703
84	0.250974252
85	0.2507793907
86	0.2505892231
87	0.2503818816
88	0.2502091971
89	0.2500292174
90	0.2498511479
91	0.2497187782
92	0.2495862085
93	0.249460934
94	0.2493338584
95	0.2492035264
96	0.2491003923
97	0.2489963851
98	0.2488323057
99	0.2487327738
100	0.2486326961
101	0.2485274517
102	0.2484289385
103	0.2483032638
104	0.2482103904
105	0.2481271045
106	0.2480446555
107	0.2479607511
108	0.2478850151
109	0.2478075691
110	0.2477254839
111	0.2476416704
112	0.2475816893
113	0.2475054985
114	0.2474443713
115	0.2473854999
116	0.2473162951
117	0.2472260233
118	0.2471541987
119	0.24709822
120	0.2470488634
121	0.2469991247
122	0.246941163
123	0.2468822188
124	0.2468368646
125	0.2467761558
126	0.2467259623
127	0.2466682552
128	0.2466286863
129	0.2465757639
130	0.2465147094
131	0.246473776
132	0.2464269299
133	0.2463555238
134	0.2463138263
135	0.2462696182
136	0.2462225357
137	0.2461725423
138	0.2461263148
139	0.2460728467
140	0.2460273651
141	0.2459911799
142	0.2459496097
143	0.2458987795
144	0.2458417092
145	0.2457739417
146	0.2457446333
147	0.2457046641
148	0.2456469752
149	0.2456133916
150	0.2455812453
151	0.2455537562
152	0.2455196632
153	0.2454928472
154	0.245462884
155	0.2454195309
156	0.2453933517
157	0.2453620058
158	0.2453322426
159	0.2452911819
160	0.245264093
161	0.2452292178
162	0.2452085691
163	0.2451803887
164	0.2451317598
165	0.2451027789
166	0.2450795106
167	0.2450556054
168	0.2450262789
169	0.2450006637
170	0.2449354067
171	0.2448891246
172	0.2448604894
173	0.2448316359
174	0.2448107144
175	0.2447866819
176	0.244750897
177	0.2447162036
178	0.2446857491
179	0.2446409043
180	0.2446074844
181	0.2445699166
182	0.2445373154
183	0.2445160846
184	0.2444838473
185	0.2444422407
186	0.2444172258
187	0.2443739819
188	0.2443464383
189	0.244322988
190	0.2443038493
191	0.2442779248
192	0.2442447233
193	0.2442187442
194	0.2441791388
195	0.2441508856
196	0.24412618
197	0.2440978723
198	0.2440710564
199	0.2440541918
200	0.2440343982
201	0.2440103475
202	0.2439892805
203	0.2439619369
204	0.2439375406
205	0.2439155457
206	0.2438733752
207	0.2438365169
208	0.2438108835
209	0.2437863052
210	0.2437641466
211	0.2437365302
212	0.2437102236
213	0.2436923221
214	0.2436739657
215	0.2436481867
216	0.2436257916
217	0.2436008859
218	0.2435698856
219	0.2435529847
220	0.2435266781
221	0.2435024455
222	0.2434758115
223	0.2434549627
224	0.2434104454
225	0.2433928531
226	0.243370749
227	0.2433297064
228	0.2432973236
229	0.2432478214
230	0.243219259
231	0.2431733953
232	0.2431468705
233	0.2431250939
234	0.2430970044
235	0.2430752642
236	0.2430472294
237	0.2430261623
238	0.2430113717
239	0.2429823363
240	0.2429514816
241	0.2429307783
242	0.2429074554
243	0.242871434
244	0.2428535324
245	0.2428243514
246	0.2428078325
247	0.2427811803
248	0.2427664806
249	0.2427322967
250	0.2427054989
251	0.2426758449
252	0.2426586711
253	0.2426298539
254	0.2426033291
255	0.2425641785
256	0.2425472594
257	0.2425242275
258	0.2425085091
259	0.2424799102
260	0.2424553866
261	0.2424314269
262	0.2424062301
263	0.2423835257
264	0.242365806
265	0.2423441932
266	0.2423276379
267	0.2423018225
268	0.2422761891
269	0.2422607254
270	0.2422333818
271	0.2422179727
272	0.2421839161
273	0.2421615027
274	0.2421402719
275	0.2421128374
276	0.2420992657
277	0.242070958
278	0.2420396121
279	0.2420254036
280	0.2419975689
281	0.2419666596
282	0.241947903
283	0.2419297649
284	0.2419120271
285	0.2418905416
286	0.2418588318
287	0.241824284
288	0.24180369
289	0.2417841693
290	0.2417593545
291	0.2417386149
292	0.2417158195
293	0.2416851467
294	0.2416687916
295	0.2416398289
296	0.2416069548
297	0.2415751905
298	0.2415467372
299	0.2415277623
300	0.2415137721
301	0.2414980537
302	0.2414543732
303	0.241438491
304	0.2414210624
305	0.241383058
306	0.2413577521
307	0.2413437801
308	0.2413198932
309	0.2412789416
310	0.2412599121
311	0.2412440299
312	0.2412274564
313	0.2412046974
314	0.2411725692
315	0.2411478818
316	0.2411294527
317	0.2410924307
318	0.2410668154
319	0.2410479133
320	0.2410093995
321	0.2409933354
322	0.2409587876
323	0.2409411225
324	0.2409154891
325	0.2408910018
326	0.2408669329
327	0.2408510508
328	0.2408370788
329	0.2408241075
330	0.2408068973
331	0.2407909605
332	0.2407659638
333	0.2407378744
334	0.2407197363
335	0.2407080203
336	0.2406928112
337	0.2406634301
338	0.2406345766
339	0.2406182942
340	0.2405908597
341	0.240570393
342	0.2405522549
343	0.240533753
344	0.240522037
345	0.2405056272
346	0.2404725712
347	0.2404379324
348	0.2404205221
349	0.2404058224
350	0.2403864291
351	0.2403761684
352	0.2403602135
353	0.240332215
354	0.2403043985
355	0.2402699234
356	0.2402548781
357	0.2402311003
358	0.2402054487
359	0.2401850002
360	0.2401712102
361	0.2401550005
362	0.2401368807
363	0.240124164
364	0.240108773
365	0.2400907623
366	0.2400660385
367	0.2400389679
368	0.240023868
369	0.2400077129
370	0.2399837714
371	0.2399667795
372	0.2399428562
373	0.2399174411
374	0.239899303
375	0.2398839121
376	0.2398718867
377	0.2398524934
378	0.2398342098
379	0.2398161081
380	0.2397984431
381	0.2397827246
382	0.2397634222
383	0.2397410817
384	0.2397295294
385	0.2397117915
386	0.2396906517
387	0.2396768981
388	0.2396533932
389	0.2396418409
390	0.2396133512
391	0.2395822782
392	0.2395601741
393	0.2395436188
394	0.2395318118
395	0.2395103263
396	0.2394854388
397	0.2394648083
398	0.239448253
399	0.2394334988
400	0.2393988236
401	0.2393864526
402	0.239374591
403	0.2393523778
404	0.2393297826
405	0.2393059502
406	0.2392826091
407	0.2392531734
408	0.2392348716
409	0.239205072
410	0.2391892808
411	0.239174654
412	0.2391577166
413	0.2391341935
414	0.2390997367
415	0.2390875294
416	0.2390775235
417	0.2390641337
418	0.2390470872
419	0.2390354075
420	0.2390129214
421	0.2389886343
422	0.2389599445
423	0.2389455723
424	0.2389299448
425	0.2388861188
426	0.2388758763
427	0.2388464042
428	0.2388258284
429	0.2388096915
430	0.2387977025
431	0.2387832212
432	0.2387621723
433	0.2387331915
434	0.2387162541
435	0.2387001718
436	0.2386865819
437	0.2386753025
438	0.2386586198
439	0.2386491779
440	0.2386367523
441	0.2386229077
442	0.2386065525
443	0.2385881962
444	0.2385702946
445	0.2385537029
446	0.2385426418
447	0.2385285789
448	0.2384787129
449	0.2384297747
450	0.2383768705
451	0.2383572588
452	0.2383399576
453	0.238325167
454	0.2383104492
455	0.238291074
456	0.2382691155
457	0.2382277637
458	0.2382090252
459	0.238196163
460	0.2381769516
461	0.23816207
462	0.2381452782
463	0.2381211548
464	0.2381064733
465	0.2380880806
466	0.2380788023
467	0.2380586631
468	0.2380092701
469	0.2379898767
470	0.2379724118
471	0.2379501076
472	0.2379327519
473	0.2379084465
474	0.2378804844
475	0.2378678769
476	0.2378471555
477	0.2378300544
478	0.2378132444
479	0.2377983629
480	0.2377810799
481	0.2377697459
482	0.2377593942
483	0.2377357074
484	0.2377160048
485	0.2376967206
486	0.2376720514
487	0.2376521123
488	0.2376135803
489	0.2375993718
490	0.2375830712
491	0.2375633322
492	0.2375427199
493	0.2375091727
494	0.2374907072
495	0.2374746431
496	0.2374605984
497	0.2374183369
498	0.2374018908
499	0.2373891741
500	0.237377458
501	0.2373581375
502	0.2373253907
503	0.2373111459
504	0.2372860219
505	0.2372648274
506	0.2372463073
507	0.2372358466
508	0.2372193095
509	0.2372030452
510	0.2371919114
511	0.2371788308
512	0.2371608201
513	0.2371414632
514	0.237123598
515	0.2370939986
516	0.2370807725
517	0.2370599965
518	0.2370192269
519	0.2369911556
520	0.2369674324
521	0.2369544975
522	0.2369204772
523	0.2368930245
524	0.2368605689
525	0.2368450506
526	0.2368262212
527	0.2368171612
528	0.236806373
529	0.2367850876
530	0.2367678592
531	0.2367376412
532	0.23672336
533	0.2367126264
534	0.2366796431
535	0.2366644341
536	0.2366545555
537	0.2366369814
538	0.2366206444
539	0.2366109841
540	0.2365747989
541	0.2365276254
542	0.2365022467
543	0.2364747213
544	0.236443248
545	0.2364217079
546	0.2364076996
547	0.2363963838
548	0.236367603
549	0.2363579791
550	0.2363394408
551	0.2363106965
552	0.2362979252
553	0.2362824615
554	0.2362697084
555	0.236251443
556	0.2362425468
557	0.2362305761
558	0.2362185144
559	0.2362044697
560	0.2361889695
561	0.2361741607
562	0.2361529299
563	0.2361413594
564	0.2361294978
565	0.236118091
566	0.2360940404
567	0.2360789223
568	0.2360650231
569	0.2360482859
570	0.2360210879
571	0.2360095719
572	0.2359971828
573	0.2359799179
574	0.235959433
575	0.2359395303
576	0.2359303612
577	0.2358986514
578	0.2358892459
579	0.2358711806
580	0.2358417267
581	0.2358279003
582	0.2358140193
583	0.2357948443
584	0.2357801628
585	0.2357566397
586	0.2357368279
587	0.2357122679
588	0.2356930747
589	0.2356668591
590	0.2356369686
591	0.2356131362
592	0.2355963262
593	0.235571184
594	0.2355617056
595	0.2355490436
596	0.2355235375
597	0.2355079282
598	0.2354938471
599	0.2354672495
600	0.2354345755
601	0.2354171651
602	0.2353958798
603	0.2353705556
604	0.2353430302
605	0.235330077
606	0.2353064993
607	0.2352776822
608	0.2352547413
609	0.2352352388
610	0.2352211759
611	0.2352044568
612	0.2351933957
613	0.2351758944
614	0.2351609764
615	0.2351399458
616	0.2351298125
617	0.2351049795
618	0.2350903526
619	0.2350723965
620	0.2350560777
621	0.2350320089
622	0.2350171455
623	0.2350035192
624	0.2349861634
625	0.2349676433
626	0.234947122
627	0.2349372434
628	0.2349010583
629	0.2348664559
630	0.2348509194
631	0.2348333271
632	0.2348234121
633	0.234802909
634	0.2347870814
635	0.2347758202
636	0.2347546985
637	0.2347353961
638	0.234716967
639	0.2346998477
640	0.2346870947
641	0.2346775799
642	0.2346681925
