iter	Passed	Remaining
404	8933	13124
405	8955	13102
406	8975	13077
407	9001	13061
408	9023	13038
409	9044	13015
410	9064	12989
411	9084	12965
412	9105	12941
413	9125	12917
414	9147	12894
415	9166	12868
416	9187	12844
417	9208	12820
418	9229	12797
419	9250	12774
420	9271	12750
421	9292	12728
422	9316	12708
423	9337	12684
424	9359	12662
425	9384	12644
426	9405	12621
427	9429	12602
428	9452	12580
429	9479	12566
430	9503	12546
431	9526	12526
432	9547	12501
433	9568	12478
434	9588	12453
435	9609	12431
436	9631	12408
437	9652	12385
438	9673	12361
439	9693	12337
440	9714	12314
441	9735	12290
442	9757	12268
443	9777	12243
444	9798	12220
445	9819	12197
446	9840	12173
447	9861	12150
448	9884	12129
449	9908	12110
450	9930	12088
451	9952	12066
452	9975	12045
453	9997	12023
454	10020	12002
455	10043	11981
456	10065	11959
457	10089	11939
458	10110	11916
459	10130	11892
460	10151	11869
461	10172	11846
462	10194	11823
463	10215	11800
464	10236	11777
465	10257	11754
466	10277	11729
467	10298	11706
468	10321	11685
469	10341	11661
470	10361	11637
471	10382	11614
472	10405	11593
473	10428	11572
474	10450	11550
475	10472	11528
476	10494	11506
477	10515	11483
478	10538	11462
479	10561	11441
480	10583	11419
481	10603	11395
482	10623	11371
483	10645	11349
484	10666	11326
485	10687	11303
486	10709	11280
487	10729	11257
488	10754	11238
489	10776	11216
490	10797	11193
491	10817	11169
492	10839	11147
493	10862	11126
494	10885	11105
495	10908	11084
496	10930	11062
497	10954	11042
498	10977	11021
499	10998	10998
500	11020	10976
501	11042	10954
502	11063	10931
503	11084	10908
504	11105	10886
505	11126	10862
506	11147	10840
507	11168	10816
508	11189	10793
509	11209	10769
510	11229	10745
511	11249	10721
512	11271	10700
513	11292	10677
514	11315	10656
515	11339	10636
516	11359	10612
517	11380	10590
518	11403	10568
519	11424	10546
520	11446	10523
521	11466	10500
522	11490	10479
523	11514	10459
524	11537	10439
525	11561	10418
526	11583	10396
527	11604	10374
528	11626	10351
529	11646	10328
530	11667	10305
531	11688	10282
532	11709	10259
533	11730	10236
534	11756	10217
535	11777	10195
536	11800	10174
537	11824	10154
538	11846	10132
539	11869	10110
540	11893	10090
541	11920	10072
542	11944	10052
543	11967	10031
544	11988	10008
545	12010	9986
546	12031	9963
547	12051	9940
548	12073	9917
549	12094	9895
550	12114	9871
551	12134	9848
552	12154	9824
553	12174	9801
554	12194	9777
555	12215	9754
556	12238	9733
557	12261	9712
558	12284	9691
559	12306	9669
560	12329	9648
561	12350	9625
562	12372	9603
563	12391	9579
564	12412	9556
565	12432	9533
566	12453	9510
567	12475	9488
568	12496	9466
