'46' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.07357142857142857, 'method': 'reranked_own_rec', 'precision': 0.1671018276762402}
'47' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.13714285714285715, 'method': 'reranked_own_rec', 'precision': 0.1751436031331593}
'48' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.20071428571428573, 'method': 'reranked_own_rec', 'precision': 0.18120104438642298}
'49' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.2642857142857143, 'method': 'reranked_own_rec', 'precision': 0.18318537859007836}
'50' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.32785714285714285, 'method': 'reranked_own_rec', 'precision': 0.1837075718015666}
'51' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.39142857142857146, 'method': 'reranked_own_rec', 'precision': 0.18652741514360316}
'52' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.455, 'method': 'reranked_own_rec', 'precision': 0.18903394255874673}
'53' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.5185714285714286, 'method': 'reranked_own_rec', 'precision': 0.1880939947780679}
'54' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.5821428571428572, 'method': 'reranked_own_rec', 'precision': 0.18798955613577023}
'55' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.6457142857142857, 'method': 'reranked_own_rec', 'precision': 0.1906005221932115}
'56' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.7092857142857143, 'method': 'reranked_own_rec', 'precision': 0.18903394255874673}
'57' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.7728571428571429, 'method': 'reranked_own_rec', 'precision': 0.19373368146214098}
'58' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.8364285714285714, 'method': 'reranked_own_rec', 'precision': 0.19018276762402092}
'59' = {dict: 4} {'n_estimators': 250, 'learning_rate': 0.9, 'method': 'reranked_own_rec', 'precision': 0.1926892950391645}
'60' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.01, 'method': 'own_rec', 'precision': 0.14441176470588235}
'61' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.07357142857142857, 'method': 'reranked_own_rec', 'precision': 0.1703394255874674}
'62' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.13714285714285715, 'method': 'reranked_own_rec', 'precision': 0.18015665796344651}
'63' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.20071428571428573, 'method': 'reranked_own_rec', 'precision': 0.1872584856396867}
'64' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.2642857142857143, 'method': 'reranked_own_rec', 'precision': 0.1872584856396867}
'65' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.32785714285714285, 'method': 'reranked_own_rec', 'precision': 0.1870496083550914}
'66' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.39142857142857146, 'method': 'reranked_own_rec', 'precision': 0.18684073107049612}
'67' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.455, 'method': 'reranked_own_rec', 'precision': 0.19070496083550917}
'68' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.5185714285714286, 'method': 'reranked_own_rec', 'precision': 0.18851174934725848}
'69' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.5821428571428572, 'method': 'reranked_own_rec', 'precision': 0.19373368146214098}
'70' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.6457142857142857, 'method': 'reranked_own_rec', 'precision': 0.19279373368146216}
'71' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.7092857142857143, 'method': 'reranked_own_rec', 'precision': 0.18986945169712796}
'72' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.7728571428571429, 'method': 'reranked_own_rec', 'precision': 0.19258485639686684}
'73' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.8364285714285714, 'method': 'reranked_own_rec', 'precision': 0.18610966057441253}
'74' = {dict: 4} {'n_estimators': 300, 'learning_rate': 0.9, 'method': 'reranked_own_rec', 'precision': 0.19488250652741518}
'75' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.01, 'method': 'own_rec', 'precision': 0.14441176470588235}
'76' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.07357142857142857, 'method': 'reranked_own_rec', 'precision': 0.17232375979112272}
'77' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.13714285714285715, 'method': 'reranked_own_rec', 'precision': 0.18234986945169712}
'78' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.20071428571428573, 'method': 'reranked_own_rec', 'precision': 0.18913838120104437}
'79' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.2642857142857143, 'method': 'reranked_own_rec', 'precision': 0.18840731070496083}
'80' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.32785714285714285, 'method': 'reranked_own_rec', 'precision': 0.1920626631853786}
'81' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.39142857142857146, 'method': 'reranked_own_rec', 'precision': 0.18986945169712796}
'82' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.455, 'method': 'reranked_own_rec', 'precision': 0.19028720626631854}
'83' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.5185714285714286, 'method': 'reranked_own_rec', 'precision': 0.1878851174934726}
